name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A12	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A13	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A15	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A16	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A17	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A19	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A21	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A22	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A23	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A25	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A29	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A30	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A31	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A33	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A34	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A35	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A36	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A37	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A38	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A39	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A40	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A41	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A42	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A43	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A44	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A46	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A47	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A48	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A49	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A50	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A51	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A52	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A53	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A54	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A55	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A56	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A57	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A58	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A59	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A60	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A61	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A62	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A63	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A64	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B12	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B13	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B14	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B15	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B16	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B17	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B18	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B19	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B20	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B21	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B22	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B23	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B24	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B25	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B29	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B30	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B31	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B32	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B33	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B34	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B35	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B36	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B37	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B38	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B39	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B40	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B41	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B42	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B43	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B44	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B45	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B46	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B47	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B48	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B49	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B50	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B51	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B52	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B53	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B54	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B55	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B56	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B57	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B58	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B59	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B60	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B61	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B62	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B63	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B64	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
